ID	Treatment	Replicate	D2	D4	D7	D9	D11	D14	D18	D22	Total_Seeds
t0R1	t0	1	0	0	0	0	0	29	10	6	50
t0R2	t0	2	0	0	0	0	3	32	7	3	50
t0R3	t0	3	0	0	0	0	4	28	10	4	50
t1R1	t1	1	0	0	0	0	0	28	14	1	50
t1R2	t1	2	0	0	0	0	0	17	13	5	50
t1R3	t1	3	0	0	0	0	3	18	8	3	50
t2R1	t2	1	0	0	0	0	15	23	0	0	50
t2R2	t2	2	0	0	0	0	7	33	0	0	50
t2R3	t2	3	0	0	0	0	16	16	0	0	50
t3R1	t3	1	0	0	0	0	5	24	4	1	50
t3R2	t3	2	0	0	0	0	3	27	9	1	50
t3R3	t3	3	0	0	0	0	3	20	6	3	50
t4R1	t4	1	0	0	0	0	6	33	0	0	50
t4R2	t4	2	0	0	0	0	1	26	20	2	50
t4R3	t4	3	0	0	0	0	6	40	0	0	50
t5R1	t5	1	0	0	0	0	0	40	2	5	50
t5R2	t5	2	0	0	0	0	3	34	3	1	50
t5R3	t5	3	0	0	0	0	1	26	0	2	50
t6aR1	t6a	1	0	0	0	0	0	0	1	6	50
t6aR2	t6a	2	0	0	0	0	5	2	0	0	50
t6aR3	t6a	3	0	0	0	0	8	4	4	2	50
t6bR1	t6b	1	0	0	0	0	1	15	0	3	50
t6bR2	t6b	2	0	0	0	0	3	7	0	3	50
t6bR3	t6b	3	0	0	0	0	1	9	0	5	50
